date,electric,industrial,resi_comm,,date,electric,industrial,resi_comm
5/21/25,1.61,0.30,0.18,,5/21/25,2.09,0.48,0.18
5/22/25,1.39,0.30,0.56,,5/22/25,2.245,0.855,0.555
5/23/25,1.13,0.27,0.51,,5/23/25,1.916666667,0.786666667,0.513333333
5/24/25,0.80,0.26,0.39,,5/24/25,1.4425,0.645,0.385
5/25/25,0.79,0.25,0.38,,5/25/25,1.4175,0.63,0.3775
5/26/25,0.83,0.25,0.33,,5/26/25,1.4125,0.58,0.335
5/27/25,0.98,0.23,0.35,,5/27/25,1.564,0.584,0.352
5/28/25,1.02,0.22,0.39,,5/28/25,1.63,0.615,0.391666667
5/29/25,0.99,0.24,0.42,,5/29/25,1.65,0.655714286,0.42
5/30/25,0.95,0.22,0.35,,5/30/25,1.51875,0.565,0.35
5/31/25,0.75,0.24,0.38,,5/31/25,1.366666667,0.62,0.382222222
6/1/25,0.73,0.24,0.42,,6/1/25,1.383333333,0.654444444,0.416666667
6/2/25,0.77,0.23,0.42,,6/2/25,1.425555556,0.655555556,0.421111111
6/3/25,0.82,0.23,0.44,,6/3/25,1.493,0.669,0.44
6/4/25,1.14,0.20,0.46,,6/4/25,1.804,0.668,0.464
6/5/25,1.34,0.21,0.49,,6/5/25,2.028,0.692,0.487
6/6/25,1.22,0.20,0.44,,6/6/25,1.867,0.643,0.44
6/7/25,0.95,0.22,0.40,,6/7/25,1.572,0.62,0.4
6/8/25,0.90,0.23,0.40,,6/8/25,1.524,0.627,0.399
6/9/25,0.94,0.23,0.46,,6/9/25,1.625,0.689,0.463
6/10/25,1.06,0.23,0.44,,6/10/25,1.721,0.665,0.436
6/11/25,1.14,0.21,0.40,,6/11/25,1.741,0.604,0.399
6/12/25,1.18,0.20,0.39,,6/12/25,1.778,0.599,0.395
6/13/25,0.98,0.21,0.38,,6/13/25,1.569,0.588,0.376
6/14/25,0.85,0.24,0.33,,6/14/25,1.413,0.567,0.33
6/15/25,0.85,0.24,0.35,,6/15/25,1.43,0.58,0.345
6/16/25,0.97,0.22,0.39,,6/16/25,1.586,0.612,0.39
6/17/25,1.11,0.22,0.41,,6/17/25,1.741,0.635,0.412
6/18/25,1.36,0.22,0.48,,6/18/25,2.063,0.701,0.484
6/19/25,1.55,0.20,0.47,,6/19/25,2.225,0.671,0.471
6/20/25,1.40,0.20,0.45,,6/20/25,2.052,0.649,0.447
6/21/25,1.46,0.21,0.41,,6/21/25,2.073,0.617,0.408
6/22/25,1.79,0.20,0.48,,6/22/25,2.468,0.681,0.482
6/23/25,2.07,0.19,0.66,,6/23/25,2.919,0.848,0.655
6/24/25,2.11,0.20,0.64,,6/24/25,2.954444444,0.842222222,0.644444444
6/25/25,1.90,0.19,0.65,,6/25/25,2.74625,0.84375,0.65
6/26/25,1.33,0.21,0.49,,6/26/25,2.03,0.702857143,0.492857143
6/27/25,1.13,0.21,0.38,,6/27/25,1.726666667,0.593333333,0.38
6/28/25,1.20,0.21,0.32,,6/28/25,1.728,0.53,0.318
6/29/25,1.46,0.20,0.38,,6/29/25,2.038,0.582,0.38
6/30/25,1.66,0.20,0.49,,6/30/25,2.36,0.696,0.494
7/1/25,1.91,0.21,0.54,,7/1/25,2.655,0.75,0.545
7/2/25,1.86,0.20,0.54,,7/2/25,2.59,0.733333333,0.536666667
7/3/25,1.75,0.21,0.59,,7/3/25,2.54,0.795,0.585
7/4/25,1.69,0.21,0.65,,7/4/25,2.55,0.86,0.65