Time PST,Azimuth,Elevation
4:00:00,56.4625,below horizon
4:15:00,58.7743,below horizon
4:30:00,61.0113,0.8688
4:45:00,63.1814,3.3501
5:00:00,65.2925,5.9988
5:15:00,67.3525,8.7317
5:30:00,69.3695,11.5217
5:45:00,71.3517,14.3567
6:00:00,73.3074,17.2294
6:15:00,75.2455,20.1342
6:30:00,77.175,23.0668
6:45:00,79.106,26.0233
7:00:00,81.0493,28.9999
7:15:00,83.0171,31.9932
7:30:00,85.0231,34.9997
7:45:00,87.0836,38.0158
8:00:00,89.2176,41.0379
8:15:00,91.4482,44.0617
8:30:00,93.804,47.0826
8:45:00,96.3211,50.095
9:00:00,99.0456,53.0923
9:15:00,102.0381,56.0658
9:30:00,105.3793,59.0044
9:45:00,109.1785,61.8929
10:00:00,113.586,64.7101
10:15:00,118.8099,67.4252
10:30:00,125.1356,69.9931
10:45:00,132.9394,72.3457
11:00:00,142.6596,74.3824
11:15:00,154.6458,75.9622
11:30:00,168.7921,76.9168
11:45:00,184.1265,77.1052
12:00:00,199.0048,76.4953
12:15:00,212.0576,75.186
12:30:00,222.8074,73.3425
12:45:00,231.45,71.1223
13:00:00,238.4128,68.6448
13:15:00,244.1096,65.9916
13:30:00,248.8677,63.2177
13:45:00,252.9288,60.3595
14:00:00,256.4679,57.4423
14:15:00,259.6116,54.4837
14:30:00,262.4526,51.4966
14:45:00,265.0601,48.4906
15:00:00,267.4862,45.4732
15:15:00,269.7715,42.4505
15:30:00,271.9475,39.4275
15:45:00,274.0399,36.4085
16:00:00,276.0694,33.3975
16:15:00,278.0534,30.3981
16:30:00,280.0068,27.4138
16:45:00,281.9424,24.4481
17:00:00,283.8716,21.5045
17:15:00,285.8048,18.5869
17:30:00,287.7514,15.6993
17:45:00,289.7205,12.8467
18:00:00,291.7206,10.0353
18:15:00,293.7599,7.2746
18:30:00,295.8465,4.5822
18:45:00,297.9884,2.0054
19:00:00,300.1935,below horizon