Date,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
2021-01-01,100,99,100,94,100,100,0
2021-01-02,100,100,100,94,100,100,0
2021-01-03,100,99,100,94,100,100,0
2021-01-04,100,99,100,94,100,100,0
2021-01-05,100,100,100,93,100,100,0
2021-01-06,100,100,100,93,100,100,0
2021-01-07,100,100,100,67,100,100,0
2021-01-08,100,100,100,99,100,100,0
2021-01-09,100,100,100,99,100,100,0
2021-01-10,100,100,93,98,100,100,0
2021-01-11,100,100,100,97,100,100,0
2021-01-12,100,100,100,96,100,100,0
2021-01-13,100,100,100,96,100,100,0
2021-01-14,100,100,100,96,100,100,0
2021-01-15,100,100,100,96,100,100,0
2021-01-16,100,100,100,96,100,100,0
2021-01-17,100,100,100,95,100,100,0
2021-01-18,100,100,100,94,100,100,0
2021-01-19,100,100,100,94,100,100,0
2021-01-20,100,100,100,94,100,100,0
2021-01-21,100,100,100,93,100,100,0
2021-01-22,100,100,100,93,100,100,0
2021-01-23,100,100,100,93,100,100,0
2021-01-24,100,100,100,92,100,100,0
2021-01-25,100,100,100,92,100,100,0
2021-01-26,100,100,100,91,100,100,0
2021-01-27,100,100,100,91,100,100,0
2021-01-28,100,100,100,91,100,100,0
2021-01-29,100,100,100,91,100,100,0
2021-01-30,100,100,100,90,100,100,0
2021-01-31,100,100,100,90,100,100,0
2021-02-01,100,100,100,90,100,100,0
2021-02-02,100,100,100,89,100,100,0
2021-02-03,100,100,100,89,100,100,0
2021-02-04,100,100,100,88,100,100,0
2021-02-05,100,98,100,88,100,100,0
2021-02-06,100,100,100,88,100,100,0
2021-02-07,100,100,100,88,100,100,0
2021-02-08,100,100,100,0,100,100,0
2021-02-09,100,100,100,0,100,100,0
2021-02-10,100,100,100,0,100,100,0
2021-02-11,100,100,100,0,100,100,0
2021-02-12,100,100,100,0,100,100,0
2021-02-13,100,100,100,0,100,100,0
2021-02-14,100,100,100,0,100,100,0
2021-02-15,100,100,100,0,100,100,0
2021-02-16,100,100,100,0,100,100,0
2021-02-17,100,100,100,0,100,100,0
2021-02-18,100,100,100,0,100,100,0
2021-02-19,100,100,100,0,100,100,0
2021-02-20,100,100,100,0,100,100,0
2021-02-21,100,100,100,0,100,100,0
2021-02-22,100,100,100,0,100,100,0
2021-02-23,100,100,100,0,100,100,0
2021-02-24,100,100,100,0,100,100,0
2021-02-25,100,100,100,0,100,100,0
2021-02-26,100,100,100,0,100,100,0
2021-02-27,100,100,100,0,100,100,0
2021-02-28,100,100,100,0,100,100,0
2021-03-01,100,100,100,0,100,100,0
2021-03-02,100,100,100,0,100,100,0
2021-03-03,100,100,100,0,100,97,0
2021-03-04,100,100,100,0,100,100,0
2021-03-05,100,100,100,0,98,100,0
2021-03-06,100,100,100,0,100,100,0
2021-03-07,100,100,100,0,100,100,0
2021-03-08,100,100,100,2,100,100,0
2021-03-09,100,100,100,22,100,100,0
2021-03-10,99,100,100,54,100,100,0
2021-03-11,96,100,100,74,100,100,0
2021-03-12,96,100,100,94,100,100,0
2021-03-13,95,100,100,100,100,100,0
2021-03-14,94,100,100,100,100,100,0
2021-03-15,93,100,100,100,100,100,0
2021-03-16,91,100,100,100,100,100,0
2021-03-17,91,100,100,100,100,100,0
2021-03-18,91,100,100,100,100,100,0
2021-03-19,89,100,100,100,100,100,0
2021-03-20,87,100,100,100,100,100,0
2021-03-21,68,100,96,100,100,100,0
2021-03-22,0,100,100,100,100,100,0
2021-03-23,0,100,100,100,100,100,0
2021-03-24,0,100,100,100,100,100,0
2021-03-25,0,100,100,100,100,100,0
2021-03-26,0,100,100,100,100,100,0
2021-03-27,0,100,100,100,100,100,0
2021-03-28,0,100,100,99,100,100,0
2021-03-29,0,100,100,99,100,100,0
2021-03-30,0,100,100,100,100,100,0
2021-03-31,0,100,100,100,100,100,0
2021-04-01,0,100,100,100,100,100,0
2021-04-02,0,100,100,100,100,100,0
2021-04-03,0,100,100,100,100,100,0
2021-04-04,0,100,100,100,100,100,0
2021-04-05,0,100,100,100,100,100,0
2021-04-06,0,100,100,100,100,100,0
2021-04-07,0,100,100,100,100,100,0
2021-04-08,0,100,100,100,100,100,0
2021-04-09,0,100,100,20,100,100,0
2021-04-10,0,100,100,19,100,100,0
2021-04-11,0,100,100,54,100,100,0
2021-04-12,0,100,100,96,100,100,0
2021-04-13,0,100,100,99,80,100,0
2021-04-14,0,100,100,100,80,100,0
2021-04-15,0,100,100,100,80,100,0
2021-04-16,0,100,100,100,100,100,0
2021-04-17,0,100,100,100,100,100,0
2021-04-18,2,100,100,100,100,100,0
2021-04-19,12,100,100,100,100,100,0
2021-04-20,13,100,100,100,100,100,0
2021-04-21,17,100,100,100,100,100,0
2021-04-22,40,100,100,100,100,100,0
2021-04-23,0,100,100,100,100,100,0
2021-04-24,30,100,100,100,100,100,0
2021-04-25,60,100,100,100,100,100,0
2021-04-26,66,100,100,100,100,100,0
2021-04-27,91,100,100,100,100,100,0
2021-04-28,96,100,100,100,100,100,0
2021-04-29,96,100,100,100,100,100,0
2021-04-30,97,100,100,100,100,100,0
2021-05-01,100,100,100,100,100,100,0
2021-05-02,100,100,100,100,100,100,0
2021-05-03,100,100,100,100,100,100,0
2021-05-04,98,100,100,100,100,98,0
2021-05-05,98,100,100,100,100,98,0
2021-05-06,100,100,100,100,100,100,0
2021-05-07,100,100,100,100,100,100,0
2021-05-08,100,100,100,100,100,100,0
2021-05-09,100,100,100,100,100,100,0
2021-05-10,100,100,100,100,100,100,0
2021-05-11,100,100,100,100,100,100,0
2021-05-12,100,100,100,100,100,100,0
2021-05-13,100,100,100,100,100,100,0
2021-05-14,100,100,100,100,100,100,0
2021-05-15,100,100,100,100,100,100,0
2021-05-16,100,100,100,100,100,100,0
2021-05-17,100,100,100,100,100,100,0
2021-05-18,100,100,100,100,100,100,0
2021-05-19,100,100,100,100,100,100,0
2021-05-20,100,100,100,100,100,100,0
2021-05-21,100,100,100,100,100,100,0
2021-05-22,100,100,100,100,100,100,0
2021-05-23,100,100,100,100,100,100,0
2021-05-24,100,100,100,100,100,100,0
2021-05-25,100,100,100,100,100,100,0
2021-05-26,100,100,100,100,100,100,0
2021-05-27,100,100,100,100,100,100,0
2021-05-28,100,100,100,100,100,100,0
2021-05-29,100,100,100,100,100,100,0
2021-05-30,100,100,100,100,100,100,0
2021-05-31,100,100,100,100,100,100,0
2021-06-01,100,100,100,100,100,100,0
2021-06-02,100,100,100,100,100,100,0
2021-06-03,100,100,100,100,100,100,0
2021-06-04,100,100,100,100,100,100,0
2021-06-05,100,100,100,100,100,100,0
2021-06-06,100,100,100,97,100,100,0
2021-06-07,100,100,100,100,100,100,0
2021-06-08,100,100,100,100,100,100,0
2021-06-09,100,100,100,100,100,100,0
2021-06-10,100,100,100,100,100,100,0
2021-06-11,100,100,100,100,100,100,0
2021-06-12,"Unit
Farley 1    72
Farley 1    72
Name: Power, dtype: object",100,0,100,100,100,0
2021-06-13,"Unit
Farley 1    68
Farley 1    68
Name: Power, dtype: object",100,0,100,100,100,0
2021-06-14,100,100,0,100,100,100,0
2021-06-15,100,100,0,100,100,100,0
2021-06-16,100,100,0,100,100,100,0
2021-06-17,100,100,0,100,100,100,0
2021-06-18,100,100,20,100,100,100,0
2021-06-19,100,100,80,100,100,100,0
2021-06-20,100,100,97,100,100,100,0
2021-06-21,100,100,100,100,100,100,0
2021-06-22,100,100,100,100,100,100,0
2021-06-23,100,100,100,100,100,100,0
2021-06-24,100,100,100,100,100,100,0
2021-06-25,100,100,100,100,100,100,0
2021-06-26,100,100,100,100,100,100,0
2021-06-27,100,100,100,100,100,100,0
2021-06-28,100,100,100,100,100,100,0
2021-06-29,100,100,100,100,100,100,0
2021-06-30,100,100,100,100,100,100,0
2021-07-01,100,100,0,100,100,100,0
2021-07-02,100,100,0,100,100,100,0
2021-07-03,100,100,0,100,100,100,0
2021-07-04,100,100,0,100,100,100,0
2021-07-05,100,100,0,100,100,100,0
2021-07-06,100,100,4,100,100,100,0
2021-07-07,100,100,9,100,100,100,0
2021-07-08,100,100,50,100,100,100,0
2021-07-09,100,100,55,100,100,100,0
2021-07-10,100,100,60,100,100,100,0
2021-07-11,100,100,99,100,100,100,0
2021-07-12,100,100,100,100,100,100,0
2021-07-13,100,100,100,100,100,100,0
2021-07-14,100,100,100,100,100,100,0
2021-07-15,100,100,100,100,100,100,0
2021-07-16,100,100,50,100,100,100,0
2021-07-17,100,100,55,100,100,100,0
2021-07-18,100,100,55,100,100,100,0
2021-07-19,100,100,94,100,100,100,0
2021-07-20,100,100,100,100,100,100,0
2021-07-21,100,100,100,100,100,100,0
2021-07-22,100,100,100,100,100,100,0
2021-07-23,100,100,100,100,100,100,0
2021-07-24,100,100,100,100,100,100,0
2021-07-25,100,100,100,100,100,100,0
2021-07-26,100,100,100,100,100,100,0
2021-07-27,100,100,100,100,100,100,0
2021-07-28,100,100,100,100,100,100,0
2021-07-29,100,100,100,100,100,100,0
2021-07-30,100,100,100,100,100,100,0
2021-07-31,100,100,100,100,100,100,0
2021-08-01,100,100,100,100,100,100,0
2021-08-02,100,100,100,100,100,100,0
2021-08-03,100,100,100,100,100,100,0
2021-08-04,100,100,0,100,100,100,0
2021-08-05,100,100,0,100,100,100,0
2021-08-06,100,100,0,100,100,100,0
2021-08-07,100,100,12,100,100,100,0
2021-08-08,100,100,66,100,100,100,0
2021-08-09,100,100,94,100,100,100,0
2021-08-10,100,100,100,100,100,100,0
2021-08-11,100,100,99,100,100,100,0
2021-08-12,100,100,100,100,100,100,0
2021-08-13,100,100,100,100,100,100,0
2021-08-14,100,100,100,100,100,100,0
2021-08-15,100,100,100,100,100,100,0
2021-08-16,100,100,100,100,100,100,0
2021-08-17,100,100,100,100,100,100,0
2021-08-18,100,100,100,100,100,100,0
2021-08-19,100,100,100,100,100,80,0
2021-08-20,100,100,100,100,100,80,0
2021-08-21,100,100,100,100,100,80,0
2021-08-22,100,100,100,100,100,80,0
2021-08-23,100,100,100,100,100,100,0
2021-08-24,100,100,100,100,100,100,0
2021-08-25,100,100,100,100,100,100,0
2021-08-26,100,100,100,100,100,100,0
2021-08-27,100,100,100,100,100,100,0
2021-08-28,100,100,100,100,100,100,0
2021-08-29,100,100,100,100,100,100,0
2021-08-30,100,100,100,100,100,100,0
2021-08-31,100,100,100,100,100,100,0
2021-09-01,100,100,100,100,100,100,0
2021-09-02,100,100,100,100,100,100,0
2021-09-03,100,100,100,100,100,100,0
2021-09-04,100,100,100,100,100,100,0
2021-09-05,100,100,100,100,100,100,0
2021-09-06,100,100,100,100,100,100,0
2021-09-07,100,100,100,100,100,100,0
2021-09-08,100,100,100,100,99,100,0
2021-09-09,100,100,100,100,98,100,0
2021-09-10,100,100,100,100,98,100,0
2021-09-11,100,100,100,80,97,100,0
2021-09-12,100,100,100,100,0,100,0
2021-09-13,100,100,100,99,0,100,0
2021-09-14,100,99,100,100,0,100,0
2021-09-15,100,100,100,100,0,100,0
2021-09-16,100,100,100,100,0,100,0
2021-09-17,100,100,100,100,0,100,0
2021-09-18,100,100,94,100,0,100,0
2021-09-19,100,100,100,100,0,100,0
2021-09-20,100,99,92,100,0,100,0
2021-09-21,100,99,100,100,0,100,0
2021-09-22,100,98,100,100,0,100,0
2021-09-23,100,98,100,100,0,100,0
2021-09-24,100,98,100,100,0,100,0
2021-09-25,100,98,100,100,0,100,0
2021-09-26,100,98,100,100,0,100,0
2021-09-27,100,98,100,100,0,100,0
2021-09-28,100,98,100,100,0,100,0
2021-09-29,100,98,100,100,0,100,0
2021-09-30,100,98,100,100,0,100,0
2021-10-01,100,98,100,100,0,100,0
2021-10-02,100,98,100,100,0,100,0
2021-10-03,100,98,100,100,0,100,0
2021-10-04,100,98,100,100,0,100,0
2021-10-05,100,98,100,100,0,100,0
2021-10-06,100,98,100,100,0,100,0
2021-10-07,100,98,100,100,0,100,0
2021-10-08,100,98,100,100,45,100,0
2021-10-09,100,98,100,100,56,100,0
2021-10-10,100,98,100,100,91,100,0
2021-10-11,100,98,100,100,100,100,0
2021-10-12,100,98,100,100,100,100,0
2021-10-13,100,98,100,100,100,100,0
2021-10-14,100,98,100,100,100,100,0
2021-10-15,100,98,100,100,100,100,0
2021-10-16,100,98,100,100,100,100,0
2021-10-17,100,98,100,100,100,100,0
2021-10-18,100,98,100,100,100,100,0
2021-10-19,100,98,100,100,100,100,0
2021-10-20,100,98,100,100,100,100,0
2021-10-21,100,98,100,100,100,100,0
2021-10-22,99,98,100,100,100,100,0
2021-10-23,100,98,100,100,100,100,0
2021-10-24,100,98,100,100,100,100,0
2021-10-25,100,98,99,100,100,100,0
2021-10-26,100,98,100,100,100,100,0
2021-10-27,100,98,100,100,100,100,0
2021-10-28,100,98,100,100,100,100,0
2021-10-29,100,98,100,100,100,100,0
2021-10-30,100,98,100,100,100,100,0
2021-10-31,100,98,100,100,100,100,0
2021-11-01,100,98,100,100,100,100,0
2021-11-02,100,98,100,100,100,100,0
2021-11-03,100,98,100,100,100,100,0
2021-11-04,100,100,100,100,100,100,0
2021-11-05,100,100,100,100,100,100,0
2021-11-06,100,100,100,100,100,100,0
2021-11-07,100,100,100,100,100,100,0
2021-11-08,100,100,100,100,100,100,0
2021-11-09,100,100,100,100,100,100,0
2021-11-10,100,100,100,100,100,100,0
2021-11-11,100,100,100,100,100,100,0
2021-11-12,100,100,100,100,100,100,0
2021-11-13,100,100,100,100,100,100,0
2021-11-14,100,100,100,100,100,100,0
2021-11-15,100,100,100,100,100,100,0
2021-11-16,100,100,100,100,100,100,0
2021-11-17,100,100,100,100,100,100,0
2021-11-18,100,100,100,100,100,100,0
2021-11-19,100,100,100,100,100,99,0
2021-11-20,100,100,100,100,100,100,0
2021-11-21,100,100,100,100,100,100,0
2021-11-22,100,100,100,100,100,100,0
2021-11-23,100,100,100,100,100,100,0
2021-11-24,100,100,100,100,100,100,0
2021-11-25,100,100,100,100,100,100,0
2021-11-26,100,100,100,100,100,100,0
2021-11-27,100,100,100,100,100,100,0
2021-11-28,100,100,100,100,100,100,0
2021-11-29,100,100,100,100,100,100,0
2021-11-30,100,100,100,100,100,100,0
2021-12-01,100,100,100,100,100,100,0
2021-12-02,100,100,99,100,100,100,0
2021-12-03,100,100,99,100,100,100,0
2021-12-04,100,100,99,100,100,100,0
2021-12-05,100,100,96,100,100,100,0
2021-12-06,100,100,100,100,100,100,0
2021-12-07,100,100,100,100,100,100,0
2021-12-08,100,100,100,100,100,100,0
2021-12-09,100,100,100,100,100,100,0
2021-12-10,100,100,100,100,100,100,0
2021-12-11,100,100,100,40,100,100,0
2021-12-12,100,100,100,35,100,100,0
2021-12-13,100,100,100,62,100,100,0
2021-12-14,100,100,100,88,100,100,0
2021-12-15,100,100,100,100,100,100,0
2021-12-16,100,100,99,100,100,100,0
2021-12-17,100,100,99,100,84,100,0
2021-12-18,100,100,99,100,85,100,0
2021-12-19,100,100,97,100,85,100,0
2021-12-20,100,100,100,100,86,100,0
2021-12-21,100,100,99,100,100,100,0
2021-12-22,100,100,99,100,100,100,0
2021-12-23,100,100,99,100,100,100,0
2021-12-24,100,100,99,100,100,100,0
2021-12-25,100,100,98,100,100,100,0
2021-12-26,100,100,98,100,100,100,0
2021-12-27,100,100,97,100,100,100,0
2021-12-28,100,100,97,100,100,100,0
2021-12-29,100,100,96,100,100,100,0
2021-12-30,100,100,0,100,100,100,0
2021-12-31,100,100,0,100,100,100,0
2022-01-01,100,100,0,100,100,100,0
2022-01-02,100,100,0,100,100,100,0
2022-01-03,100,100,23,100,100,100,0
2022-01-04,100,100,89,100,100,100,0
2022-01-05,100,100,88,100,100,100,0
2022-01-06,100,100,98,100,100,100,0
2022-01-07,100,100,96,100,100,100,0
2022-01-08,100,100,98,100,100,100,0
2022-01-09,100,100,98,100,100,100,0
2022-01-10,100,100,99,100,100,100,0
2022-01-11,100,100,99,100,100,100,0
2022-01-12,100,100,99,100,100,100,0
2022-01-13,100,100,99,100,100,100,0
2022-01-14,100,100,98,100,100,100,0
2022-01-15,100,100,99,100,100,100,0
2022-01-16,100,100,99,100,100,100,0
2022-01-17,100,100,99,100,100,100,0
2022-01-18,100,100,98,100,100,100,0
2022-01-19,100,100,97,100,100,100,0
2022-01-20,100,100,97,100,100,100,0
2022-01-21,100,100,97,100,100,100,0
2022-01-22,100,100,96,100,100,100,0
2022-01-23,100,100,95,100,100,100,0
2022-01-24,100,100,95,100,100,100,0
2022-01-25,100,100,94,100,100,100,0
2022-01-26,100,100,94,100,100,100,0
2022-01-27,100,100,94,100,100,100,0
2022-01-28,100,100,93,100,100,100,0
2022-01-29,100,100,93,100,100,100,0
2022-01-30,100,100,92,100,100,100,0
2022-01-31,100,100,92,100,100,100,0
2022-02-01,100,100,91,100,100,100,0
2022-02-02,100,100,91,100,100,100,0
2022-02-03,100,100,91,100,100,100,0
2022-02-04,100,100,90,100,100,100,0
2022-02-05,100,100,90,100,100,100,0
2022-02-06,100,100,0,100,100,100,0
2022-02-07,100,100,0,100,100,100,0
2022-02-08,100,100,0,100,100,100,0
2022-02-09,100,100,0,100,100,100,0
2022-02-10,100,100,0,100,100,100,0
2022-02-11,100,100,0,100,100,100,0
2022-02-12,100,100,0,100,100,100,0
2022-02-13,100,100,0,100,100,100,0
2022-02-14,100,100,0,100,100,100,0
2022-02-15,100,100,0,100,100,100,0
2022-02-16,100,100,0,100,100,100,0
2022-02-17,100,100,0,100,100,100,0
2022-02-18,100,100,0,100,100,100,0
2022-02-19,100,100,0,100,100,100,0
2022-02-20,100,100,0,100,100,100,0
2022-02-21,100,100,0,100,100,100,0
2022-02-22,100,100,0,100,100,100,0
2022-02-23,100,100,0,100,100,100,0
2022-02-24,100,100,0,100,100,100,0
2022-02-25,100,100,0,100,100,100,0
2022-02-26,100,100,0,100,100,100,0
2022-02-27,100,100,0,100,100,100,0
2022-02-28,100,100,0,100,100,100,0
2022-03-01,100,100,0,100,100,99,0
2022-03-02,100,100,21,100,100,99,0
2022-03-03,100,100,10,100,100,98,0
2022-03-04,100,100,58,100,100,97,0
2022-03-05,100,100,96,100,100,97,0
2022-03-06,100,100,100,100,100,0,0
2022-03-07,100,100,100,100,100,0,0
2022-03-08,100,100,100,100,100,0,0
2022-03-09,100,100,100,100,100,0,0
2022-03-10,100,100,100,100,100,0,0
2022-03-11,100,100,100,100,100,0,0
2022-03-12,100,100,100,100,100,0,0
2022-03-13,100,100,100,100,100,0,0
2022-03-14,100,100,100,100,100,0,0
2022-03-15,100,100,100,100,100,0,0
2022-03-16,100,100,100,100,100,0,0
2022-03-17,100,100,100,100,100,0,0
2022-03-18,100,100,100,100,100,0,0
2022-03-19,100,100,100,79,100,0,0
2022-03-20,100,100,100,50,100,0,0
2022-03-21,100,100,100,72,100,0,0
2022-03-22,100,100,100,93,100,0,0
2022-03-23,100,100,100,100,100,0,0
2022-03-24,100,100,100,100,100,0,0
2022-03-25,100,100,100,100,100,0,0
2022-03-26,100,100,100,100,100,0,0
2022-03-27,100,100,100,100,100,0,0
2022-03-28,100,100,100,100,100,0,0
2022-03-29,100,99,100,100,100,0,0
2022-03-30,100,98,100,100,100,0,0
2022-03-31,100,97,100,100,100,0,0
2022-04-01,100,96,100,100,100,0,0
2022-04-02,100,95,100,100,100,0,0
2022-04-03,100,94,100,100,100,0,0
2022-04-04,100,93,100,100,100,0,0
2022-04-05,100,92,100,100,100,0,0
2022-04-06,100,91,100,100,100,41,0
2022-04-07,100,91,100,100,100,60,0
2022-04-08,100,90,100,100,100,81,0
2022-04-09,100,88,100,100,100,95,0
2022-04-10,100,69,100,100,100,100,0
2022-04-11,100,0,100,100,100,65,0
2022-04-12,100,0,100,100,100,65,0
2022-04-13,100,0,100,100,100,65,0
2022-04-14,100,0,100,100,100,80,0
2022-04-15,100,0,100,100,100,100,0
2022-04-16,100,0,100,100,100,100,0
2022-04-17,100,0,100,100,100,100,0
2022-04-18,100,0,100,100,100,100,0
2022-04-19,100,0,100,100,100,100,0
2022-04-20,100,0,100,100,100,100,0
2022-04-21,100,0,100,100,100,100,0
2022-04-22,100,0,100,100,100,100,0
2022-04-23,100,0,100,100,100,100,0
2022-04-24,100,0,100,100,100,100,0
2022-04-25,100,0,100,100,100,100,0
2022-04-26,100,0,100,100,100,100,0
2022-04-27,100,0,100,100,100,100,0
2022-04-28,100,0,100,100,100,100,0
2022-04-29,100,0,100,100,100,100,0
2022-04-30,100,0,100,100,100,100,0
2022-05-01,100,0,100,100,100,100,0
2022-05-02,100,0,100,100,100,100,0
2022-05-03,100,10,100,100,100,100,0
2022-05-04,100,47,100,100,0,100,0
2022-05-05,100,58,100,100,3,100,0
2022-05-06,100,60,100,100,20,100,0
2022-05-07,100,60,100,100,65,100,0
2022-05-08,100,60,100,100,65,100,0
2022-05-09,100,92,100,100,100,100,0
2022-05-10,100,100,100,100,100,100,0
2022-05-11,100,100,100,100,100,100,0
2022-05-12,100,100,100,100,100,100,0
2022-05-13,100,100,100,100,100,100,0
2022-05-14,100,100,100,100,100,100,0
2022-05-15,100,100,100,100,100,100,0
2022-05-16,100,100,100,100,100,100,0
2022-05-17,100,100,97,100,100,100,0
2022-05-18,100,100,96,100,100,100,0
2022-05-19,100,100,96,100,100,100,0
2022-05-20,100,100,97,100,100,100,0
2022-05-21,100,100,97,100,100,100,0
2022-05-22,100,100,97,100,100,100,0
2022-05-23,100,100,0,100,100,100,0
2022-05-24,100,100,0,100,100,100,0
2022-05-25,100,100,0,100,100,100,0
2022-05-26,100,100,33,100,100,100,0
2022-05-27,100,100,95,100,92,100,0
