Read Date,Usage (kWh),Number of Days,Usage per Day,Charge,Read Type,Average Temperature
12/12/22,1595,32,49.84,$392.04 ,Normal Read,41.7
11/10/22,781,28,27.89,$196.88 ,Normal Read,54.7
10/13/22,1571,29,54.17,$386.29 ,Normal Read,59.9
9/14/22,1632,30,54.4,$411.88 ,Normal Read,73.2
8/15/22,1889,32,59.03,$486.36 ,Normal Read,78.4
7/14/22,1482,30,49.4,$379.18 ,Normal Read,72
6/14/22,720,33,21.82,$187.25 ,Normal Read,66.7
5/12/22,794,31,25.61,$203.43 ,Normal Read,53.5
4/11/22,1318,31,42.52,$329.16 ,Normal Read,44.8
3/11/22,1576,29,54.34,$391.29 ,Normal Read,35.6
2/10/22,2215,29,76.38,$510.19 ,Normal Read,27.4
1/12/22,1671,33,50.64,$325.52 ,Normal Read,36.8
12/10/21,1595,32,49.84,$392.04 ,Normal Read,41.7